Date,Open,High,Low,Close
2025-04-11,33951.25,33953.29,32626.58,33585.58
2025-04-10,32321.21,34639.39,32320.66,34609.00
2025-04-09,32529.23,32565.84,31258.18,31714.03
2025-04-08,31729.11,33257.16,31703.69,33012.58
2025-04-07,33154.97,33158.87,30792.74,31136.58
2025-04-04,34304.66,34320.11,33259.76,33780.58
2025-04-03,35041.67,35044.73,34102.00,34735.93
2025-04-02,35751.02,35778.90,35426.33,35725.87
2025-04-01,35961.19,36052.54,35537.86,35624.48
2025-03-31,36440.18,36440.18,35541.72,35617.56
2025-03-28,37357.52,37359.95,36864.93,37120.33
2025-03-27,37750.66,37859.06,37556.75,37799.97
2025-03-26,38106.66,38220.69,37873.28,38027.29
2025-03-25,37953.15,38115.65,37686.26,37780.54
2025-03-24,37841.68,37841.68,37608.49,37608.49
2025-03-21,37619.37,37968.02,37619.37,37677.06
2025-03-19,37839.39,38128.58,37751.88,37751.88
2025-03-18,37868.57,38004.20,37822.87,37845.42
2025-03-17,37453.83,37563.27,37377.55,37396.52
2025-03-14,36606.78,37154.39,36594.04,37053.10
2025-03-13,37081.64,37326.27,36776.94,36790.03
2025-03-12,36763.10,36956.33,36658.86,36819.09
2025-03-11,36584.37,36793.11,35987.13,36793.11
2025-03-10,36972.59,37113.48,36705.02,37028.27
2025-03-07,37198.30,37221.65,36813.62,36887.17
2025-03-06,37654.95,37874.38,37580.88,37704.93
2025-03-05,37345.74,37606.34,37178.72,37418.24
2025-03-04,37532.01,37587.49,36816.16,37331.18
2025-03-03,37617.50,37827.62,37372.26,37785.47
2025-02-28,37853.48,37925.28,36840.12,37155.50
2025-02-27,38251.11,38369.96,38061.94,38256.17
2025-02-26,38143.68,38175.24,37742.76,38142.37
2025-02-25,38359.67,38485.95,38131.79,38237.79
2025-02-21,38523.07,38808.81,38456.53,38776.94
2025-02-20,38942.91,38967.01,38468.72,38678.04
2025-02-19,39230.62,39298.05,38994.70,39164.61
2025-02-18,39187.99,39508.55,39151.71,39270.40
2025-02-17,39094.09,39238.75,39021.23,39174.25
2025-02-14,39419.25,39543.93,39133.94,39149.43
2025-02-13,39225.50,39581.47,39112.17,39461.47
2025-02-12,39049.12,39102.65,38794.24,38963.70
2025-02-10,38736.37,38895.74,38606.32,38801.17
2025-02-07,38907.76,39007.94,38753.20,38787.02
2025-02-06,38977.58,39190.13,38851.51,39066.53
2025-02-05,38979.21,39118.95,38682.18,38831.48
2025-02-04,39078.66,39192.51,38590.96,38798.37
2025-02-03,38932.66,38948.61,38401.82,38520.09
2025-01-31,39574.38,39681.82,39458.95,39572.49
2025-01-30,39302.85,39600.93,39221.36,39513.97
2025-01-29,39273.80,39448.24,39129.14,39414.78
2025-01-28,39400.02,39448.55,38886.05,39016.87
2025-01-27,40127.74,40255.68,39520.79,39565.80
2025-01-24,40060.49,40279.79,39806.69,39931.98
2025-01-23,39810.06,40036.07,39677.22,39958.87
2025-01-22,39355.22,39694.57,39332.63,39646.25
2025-01-21,39163.53,39238.21,38643.84,39027.98
2025-01-20,38671.77,39032.93,38671.77,38902.50
2025-01-17,38454.10,38503.94,38055.68,38451.46
2025-01-16,38732.65,38932.54,38426.20,38572.60
2025-01-15,38721.61,38774.99,38316.01,38444.58
2025-01-14,39010.96,39054.35,38305.91,38474.30
2025-01-10,39550.25,39591.46,39166.05,39190.40
2025-01-09,39888.91,39930.07,39385.05,39605.09
2025-01-08,39879.36,40105.72,39705.81,39981.06
2025-01-07,39584.36,40288.80,39584.36,40083.30
2025-01-06,39945.42,39993.50,39232.78,39307.05
2024-12-30,40325.78,40325.78,39864.46,39894.54
2024-12-27,39672.15,40398.23,39669.39,40281.16
2024-12-26,39129.31,39592.28,39110.92,39568.06
2024-12-25,39168.52,39180.59,38927.16,39130.43
2024-12-24,39210.23,39245.75,38995.76,39036.85
2024-12-23,39040.72,39210.17,38847.13,39161.34
2024-12-20,38950.28,39039.68,38701.90,38701.90
2024-12-19,38522.27,38913.07,38355.52,38813.58
2024-12-18,39176.88,39382.69,39081.71,39081.71
2024-12-17,39589.65,39796.22,39364.68,39364.68
2024-12-16,39551.22,39632.17,39371.42,39457.49
2024-12-13,39624.05,39734.99,39247.41,39470.44
2024-12-12,39849.97,40091.55,39827.59,39849.14
2024-12-11,39357.77,39401.93,39112.80,39372.23
2024-12-10,39375.49,39465.14,39171.69,39367.58
2024-12-09,39332.55,39332.55,38972.78,39160.50
2024-12-06,39371.56,39468.47,38940.44,39091.17
2024-12-05,39610.43,39632.30,39323.04,39395.60
2024-12-04,39354.00,39417.08,39062.03,39276.39
2024-12-03,38748.65,39427.37,38746.05,39248.86
2024-12-02,38216.95,38552.41,37958.55,38513.02
2024-11-29,38205.08,38270.06,37986.97,38208.03
2024-11-28,37935.94,38478.32,37801.62,38349.06
2024-11-27,38327.86,38332.45,37988.99,38134.97
2024-11-26,38596.76,38596.76,38020.08,38442.00
2024-11-25,38679.93,39053.64,38672.17,38780.14
2024-11-22,38146.98,38420.63,38085.13,38283.85
2024-11-21,38352.87,38374.69,37945.21,38026.17
2024-11-20,38475.70,38520.45,38180.15,38352.34
2024-11-19,38396.72,38560.10,38246.36,38414.43
2024-11-18,38259.59,38548.30,38150.39,38220.85
2024-11-15,38749.56,39101.64,38642.91,38642.91
2024-11-14,38911.04,39084.44,38535.70,38535.70
2024-11-13,39317.15,39377.24,38600.26,38721.66
2024-11-12,39642.78,39866.72,39137.89,39376.09
2024-11-11,39417.21,39598.74,39315.61,39533.32
2024-11-08,39783.45,39818.41,39377.87,39500.37
2024-11-07,39745.23,39884.01,39020.22,39381.41
2024-11-06,38677.95,39664.53,38662.17,39480.67
2024-11-05,38274.22,38620.19,38159.73,38474.90
2024-11-01,38504.35,38512.83,37946.66,38053.67
2024-10-31,39179.72,39249.21,38832.21,39081.25
2024-10-30,39102.89,39417.88,39094.30,39277.39
2024-10-29,38524.30,38903.68,38416.85,38903.68
2024-10-28,37757.95,38740.17,37757.95,38605.53
2024-10-25,37954.78,38028.14,37713.00,37913.92
2024-10-24,37804.52,38320.39,37712.19,38143.29
2024-10-23,38397.28,38514.33,37987.62,38104.86
2024-10-22,38933.60,38995.03,38200.82,38411.96
2024-10-21,38960.20,39119.67,38775.59,38954.60
2024-10-18,39092.47,39186.64,38893.52,38981.75
2024-10-17,39263.82,39299.74,38911.19,38911.19
2024-10-16,39362.63,39362.63,39062.85,39180.30
2024-10-15,40047.15,40257.34,39910.55,39910.55
2024-10-11,39636.87,39668.93,39415.26,39605.80
2024-10-10,39575.80,39616.59,39282.19,39380.89
2024-10-09,39385.49,39456.28,39115.63,39277.96
2024-10-08,39021.13,39117.09,38817.54,38937.54
2024-10-07,39239.92,39560.78,39195.93,39332.74
2024-10-04,38594.73,38735.29,38501.82,38635.62
2024-10-03,38459.13,38856.75,38457.62,38552.06
2024-10-02,38136.20,38213.54,37651.07,37808.76
2024-10-01,38232.47,38718.13,38232.47,38651.97
2024-09-30,39117.83,39126.36,37797.91,37919.55
